guid,country name,country borders,tags,map,country info,country border info
w%uy{tJ7Bq,Liberia,"Ivory Coast, Sierra Leone, Guinea","UG::Africa, UG::Sovereign_State, UG::West_Africa","<img src=""ug-map-liberia.png"" />",,
L6Sbz}_N|;,Libya,"Tunisia, Algeria, Chad, Niger, Sudan, Egypt","UG::Africa, UG::Mediterranean, UG::Sovereign_State","<img src=""ug-map-libya.png"" />",,
bu/lhU(Ik^,Liechtenstein,"Switzerland, Austria","UG::Europe, UG::Sovereign_State","<img src=""ug-map-liechtenstein.png"" />",,
cS{iN9*%W~,Lithuania,"Latvia, Belarus, Russia, Poland","UG::Europe, UG::European_Union, UG::Sovereign_State","<img src=""ug-map-lithuania.png"" />",,
mu_8E9E;TH,Luxembourg,"Belgium, France, Germany","UG::Europe, UG::European_Union, UG::Sovereign_State","<img src=""ug-map-luxembourg.png"" />",,
v$N)gI*@&{,Malawi,"Mozambique, Zambia, Tanzania","UG::Africa, UG::East_Africa, UG::Sovereign_State","<img src=""ug-map-malawi.png"" />",,
p`H)c9/bG3,Malaysia,"Thailand, Brunei, Indonesia","UG::Asia, UG::Southeast_Asia, UG::Sovereign_State","<img src=""ug-map-malaysia.png"" />",,
wOjb<_k4c2,Mali,"Guinea, Algeria, Burkina Faso, Ivory Coast, Mauritania, Niger, Senegal","UG::Africa, UG::Sovereign_State, UG::West_Africa","<img src=""ug-map-mali.png"" />",,
w}&g{@#s>o,Mauritania,"Senegal, Algeria, Mali, Sahrawi Arab Democratic Republic","UG::Africa, UG::Sovereign_State, UG::West_Africa","<img src=""ug-map-mauritania.png"" />",,
EFT!7}z9W`,Mexico,"Belize, Guatemala, United States of America","UG::North_America, UG::Sovereign_State","<img src=""ug-map-mexico.png"" />",,
el-5yJ=#va,Moldova,"Ukraine, Romania","UG::Europe, UG::Sovereign_State","<img src=""ug-map-moldova.png"" />","",
h(}*_h(E:V,Monaco,France,"UG::Europe, UG::Mediterranean, UG::Sovereign_State","<img src=""ug-map-monaco.png"" />",,
y5T;jJbw#C,Mongolia,"China, Russia","UG::Asia, UG::Sovereign_State","<img src=""ug-map-mongolia.png"" />",,
lLmc0|?&WY,Montenegro,"Bosnia and Herzegovina, Croatia, Serbia, Albania, Kosovo","UG::Europe, UG::Mediterranean, UG::Sovereign_State","<img src=""ug-map-montenegro.png"" />",,
Q5{|#Mk-Zq,Morocco,"Algeria, Sahrawi Arab Democratic Republic, Spain","UG::Africa, UG::Mediterranean, UG::Sovereign_State","<img src=""ug-map-morocco.png"" />",,
IQ:QU$(z1;,Mozambique,"Malawi, Eswatini, Tanzania, Zambia, Zimbabwe, South Africa","UG::Africa, UG::East_Africa, UG::Sovereign_State","<img src=""ug-map-mozambique.png"" />",,
o~BEqi2F9!,Myanmar,"China, India, Laos, Thailand, Bangladesh","UG::Asia, UG::Southeast_Asia, UG::Sovereign_State","<img src=""ug-map-myanmar.png"" />",Also known as Burma.,
l3v=])Uu[O,Namibia,"Angola, Zambia, South Africa, Botswana","UG::Africa, UG::Sovereign_State","<img src=""ug-map-namibia.png"" />","",
brhV:-8HaI,Nepal,"China, India","UG::Asia, UG::Sovereign_State","<img src=""ug-map-nepal.png"" />",,
"yQ<8=8,&r[",Netherlands,"Belgium, Germany","UG::Europe, UG::European_Union, UG::Sovereign_State","<img src=""ug-map-netherlands.png"" />","",
i{qjW!Zwz-,Nicaragua,"Honduras, Costa Rica","UG::North_America, UG::Sovereign_State","<img src=""ug-map-nicaragua.png"" />",,
IZgte{IXIX,Niger,"Nigeria, Mali, Libya, Algeria, Benin, Burkina Faso, Chad","UG::Africa, UG::Sovereign_State, UG::West_Africa","<img src=""ug-map-niger.png"" />",,
A}=#Gfvfi1,Nigeria,"Cameroon, Niger, Chad, Benin","UG::Africa, UG::Sovereign_State, UG::West_Africa","<img src=""ug-map-nigeria.png"" />",,
eMz[rcfKYZ,North Korea,"South Korea, Russia, China","UG::Asia, UG::Sovereign_State","<img src=""ug-map-north_korea.png"" />",,
Qb.J[GVoU=,North Macedonia,"Serbia, Kosovo, Bulgaria, Albania, Greece","UG::Europe, UG::Sovereign_State","<img src=""ug-map-north_macedonia.png"" />",Formerly known as Macedonia.,
c)<zi=UgT!,Norway,"Russia, Sweden, Finland","UG::Europe, UG::Sovereign_State","<img src=""ug-map-norway.png"" />",,
v~Op)@zYTw,Oman,"United Arab Emirates, Yemen, Saudi Arabia","UG::Asia, UG::Middle_East, UG::Sovereign_State","<img src=""ug-map-oman.png"" />",,
ows:lf(-q/,Pakistan,"India, Afghanistan, China, Iran","UG::Asia, UG::Sovereign_State","<img src=""ug-map-pakistan.png"" />",,
F~!g<DGpBN,Palestine,"Israel, Egypt, Jordan","UG::Asia, UG::Mediterranean, UG::Middle_East, UG::Sovereign_State","<img src=""ug-map-palestine.png"" />",,
fkJ7Hf-KfR,Panama,"Colombia, Costa Rica","UG::North_America, UG::Sovereign_State","<img src=""ug-map-panama.png"" />",,
foWlOu;ueo,Papua New Guinea,Indonesia,"UG::Oceania, UG::Sovereign_State","<img src=""ug-map-papua_new_guinea.png"" />",,
hXhl9-X(O9,Paraguay,"Brazil, Argentina, Bolivia","UG::South_America, UG::Sovereign_State","<img src=""ug-map-paraguay.png"" />",,
s0%9>+>JMr,Peru,"Colombia, Chile, Brazil, Bolivia, Ecuador","UG::South_America, UG::Sovereign_State","<img src=""ug-map-peru.png"" />",,
Re&p5A3||@,Poland,"Lithuania, Belarus, Czech Republic, Slovakia, Ukraine, Russia, Germany","UG::Europe, UG::European_Union, UG::Sovereign_State","<img src=""ug-map-poland.png"" />",,
j(t=m*`>Y;,Portugal,Spain,"UG::Europe, UG::European_Union, UG::Sovereign_State","<img src=""ug-map-portugal.png"" />",,
v*PPZ@j|I9,Qatar,Saudi Arabia,"UG::Asia, UG::Middle_East, UG::Sovereign_State","<img src=""ug-map-qatar.png"" />","",
BcWt(E^q|R,Republic of the Congo,"Central African Republic, Democratic Republic of the Congo, Gabon, Angola, Cameroon","UG::Africa, UG::Sovereign_State","<img src=""ug-map-republic_of_the_congo.png"" />","",
t}8;ErhS]),Romania,"Hungary, Moldova, Bulgaria, Ukraine, Serbia","UG::Europe, UG::European_Union, UG::Sovereign_State","<img src=""ug-map-romania.png"" />",,
"el_W?[,h]B",Russia,"Poland, Georgia, Azerbaijan, Belarus, Estonia, Finland, Latvia, Lithuania, Norway, Ukraine, Kazakhstan, China, North Korea, Mongolia","UG::Europe, UG::Sovereign_State","<img src=""ug-map-russia.png"" />",,
n/l~TZmkpR,Rwanda,"Tanzania, Burundi, Democratic Republic of the Congo, Uganda","UG::Africa, UG::East_Africa, UG::Sovereign_State","<img src=""ug-map-rwanda.png"" />",,
bR*ncEe/Fu,Sahrawi Arab Democratic Republic,"Algeria, Morocco, Mauritania","UG::Africa, UG::Sovereign_State","<img src=""ug-map-sahrawi_arab_democratic_republic.png"" />",Partially recognised state claimed by Morocco.,
P:Pr6j>a=w,Saint Martin,Sint Maarten,"UG::Caribbean, UG::North_America","<img src=""ug-map-saint_martin.png"" />",Overseas territory of France.,
pt2z[Ul:/n,San Marino,Italy,"UG::Europe, UG::Sovereign_State","<img src=""ug-map-san_marino.png"" />",,
mzM%B.nL<A,Saudi Arabia,"Oman, United Arab Emirates, Yemen, Iraq, Jordan, Kuwait, Qatar","UG::Asia, UG::Middle_East, UG::Sovereign_State","<img src=""ug-map-saudi_arabia.png"" />",,
